"","SRR20959676","SRR20959677","SRR20959678","SRR20959679","SRR20959680","SRR20959681","SRR20959682"
"SAOUHSC_00525",68957,16537,19887,13875,28328,29100,76539
"SAOUHSC_00526",409,468,377,94,463,410,673
"SAOUHSC_00527",818,168,273,996,937,374,1416
"SAOUHSC_00528",2058,383,309,1360,1672,525,1316
"SAOUHSC_00529",21403,3626,4955,28743,16252,5409,31106
"SAOUHSC_00530",31823,4377,7578,31630,21322,7800,32843
"SAOUHSC_00531",125,10,59,24,44,24,137
"SAOUHSC_00532",621,48,185,194,179,96,1103
"SAOUHSC_00533",107,14,157,30,26,69,354
"SAOUHSC_00534",37,1,6,2,20,11,39
"SAOUHSC_00535",3248,48,34,264,178,50,900
"SAOUHSC_00536",186,1,24,27,23,37,197
"SAOUHSC_00537",11,0,0,0,1,9,8
"SAOUHSC_00538",18,0,16,3,6,1,4
"SAOUHSC_00539",8,0,3,8,29,4,42
"SAOUHSC_00540",1,0,7,0,1,1,11
"SAOUHSC_00541",14,0,11,2,6,10,29
"SAOUHSC_00542",10,2,32,10,16,16,41
"SAOUHSC_00543",13,0,14,2,4,10,16
"SAOUHSC_A00526",0,0,0,1,1,0,0
"SAOUHSC_00544",529,78,24,1025,1084,479,259
"SAOUHSC_00545",1289,105,18,1237,1186,1069,354
"SAOUHSC_00547",3,0,1,11,12,7,10
"SAOUHSC_00548",211,106,339,176,170,146,819
"SAOUHSC_00549",593,108,154,161,578,470,719
"SAOUHSC_00550",299,44,184,114,212,216,797
